,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
0,00440000290800,,,57735.04,136899.84,164292.48,133210.88,156112.0,173880.96,156731.52,166242.56,128247.68,146270.08,115420.8,153774.72,113597.44,,,,,,,,,
1,00440000294600,,,20986.24,42986.24,63451.52,40304.0,45196.8,47421.44,43267.84,51469.44,37058.56,38255.36,34144.0,43549.44,32348.8,,,,,,,,,
2,00440000319400,,,114569.4,231280.5,257396.7,201544.2,215400.9,215806.8,185681.1,261574.5,180384.6,199475.1,239104.8,214566.0,199782.0,,,,,,,,,
3,00440000327300,,,19507.84,32637.44,42472.32,35587.2,35840.64,37692.16,38720.0,48843.52,41782.4,40022.4,39008.64,42493.44,33953.92,,,,,,,,,
4,00440000333200,,,87440.1,132389.4,189347.4,186426.9,165247.5,168105.3,180430.8,215341.5,146404.5,157291.2,194825.4,295782.3,208134.3,,,,,,,,,
5,00440000333400,,,80203.2,121228.8,169653.0,170874.0,145912.8,150146.7,164359.8,194832.0,129531.6,133963.5,175744.8,258116.1,182183.1,,,,,,,,,
6,00440000340400,,,267.52,49.28,98.56,323.84,478.72,443.52,605.44,394.24,119.68,133.76,63.36,105.6,253.44,,,,,,,,,
7,00440000341600,,,50387.7,82816.8,98597.4,,,,,,,,,0.0,0.0,,,,,,,,,
8,00440000341800,,,92815.8,176639.1,216473.4,184182.9,224297.7,255060.3,145381.5,168455.1,125258.1,125020.5,185813.1,111256.2,120301.5,,,,,,,,,
9,00440000342000,,,137227.2,249166.5,332389.2,273243.3,351974.7,409411.2,245952.3,262841.7,182826.6,186756.9,303339.3,193601.1,184542.6,,,,,,,,,
10,00440000342200,,,89034.0,161746.2,207362.1,176715.0,207626.1,241276.2,142263.0,164029.8,128218.2,119506.2,203220.6,113615.7,105695.7,,,,,,,,,
11,00440000361000,,,902858.88,1469920.32,749459.04,626208.0,1588187.04,1528523.04,694848.0,794112.0,618816.0,605098.56,596999.04,797538.72,854135.04,,,,,,,,,
12,00440000393200,,,13368.96,21486.08,31116.8,20500.48,26998.4,27969.92,21626.88,29328.64,23781.12,20472.32,24555.52,19740.16,14044.8,,,,,,,,,
13,00667210008300,,,16164.616,30272.278,35292.304,38129.71,19173.986,45610.144,31416.5,24597.466,19002.022,25007.534,24895.096,27831.712,20311.594,,,,,,,,,
14,00667210008800,,,31502.482,55345.952,53586.628,51410.622,25946.722,58699.25,47706.782,40259.418,29835.754,40828.222,39181.336,37355.872,24901.71,,,,,,,,,
15,00667210015100,,,409.19,2941.935,3661.545,2934.88,1093.525,1093.525,874.82,1142.91,888.93,903.04,1100.58,874.82,663.17,,,,,,,,,
16,00667210034100,,,6375.896,12149.918,16878.928,18049.606,7639.17,13558.7,15033.622,11561.272,7837.59,14557.414,10562.558,13168.474,8538.674,,,,,,,,,
17,00667210034300,,,5271.358,14101.048,14993.938,15053.464,8624.656,15099.762,10489.804,11673.71,7996.326,9173.618,12421.092,9815.176,7599.486,,,,,,,,,
18,00667210045500,,,6614.0,13231.307,14550.8,12057.322,20652.215,20662.136,16875.621,17318.759,14821.974,16508.544,20536.47,16429.176,12321.882,,,,,,,,,
19,00667210045700,,,6614.0,13231.307,13899.321,12057.322,20652.215,20662.136,16875.621,17318.759,14821.974,16508.544,20536.47,16429.176,12321.882,,,,,,,,,
20,00440000400600,,,,38522.88,72985.6512,,,,,,,,,0.0,105684.48,,,,,,,,,
21,00440000406800,,,,,7863.68,25752.32,25351.04,24935.68,12643.84,21183.36,16431.36,12763.52,23844.48,21992.96,12601.6,,,,,,,,,
22,00440000435200,,,,,105019.2,202636.5,297184.8,312770.7,272586.6,295148.7,191093.1,205672.5,206639.4,319106.7,253433.4,,,,,,,,,
23,00440000423600,,,,,,,,297069.3,110606.1,,,,,,,,,,,,,,,
