,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
0,00193200004300,,,12568.5,14573.25,23010.75,29382.75,15275.25,19028.25,26419.5,23274.0,19527.75,30010.5,12548.25,11846.25,23658.75,,,,,,,,,
1,00193200008900,,,5262.0,9567.0,12720.0,9225.0,11646.0,12378.0,9903.0,11172.0,8487.0,9177.0,10710.0,9360.0,7800.0,,,,,,,,,
2,00193200093700,,,19077.93,26152.875,29477.115,23779.98,33661.575,45030.33,37076.94,32783.13,24673.005,24516.27,26612.145,31740.66,26418.96,,,,,,,,,
3,00440000061000,,,9765.684,20440.188,21708.864,16072.344,20085.84,22345.956,18334.296,19854.504,11965.212,13228.38,24207.66,18894.276,14151.888,,,,,,,,,
4,00440000249100,,,21638.4,19806.72,24725.76,31453.44,21231.36,30109.44,25516.8,29214.72,10586.88,,,,,,,,,,,,,
5,00440000295400,,,112819.2,152006.4,238655.04,179849.28,236508.48,281673.6,195898.56,220671.36,192566.4,139776.0,112332.48,204335.04,170202.24,,,,,,,,,
6,00440000322000,,,162047.16,256407.192,372913.344,324211.392,273489.948,356201.316,287782.488,260846.172,229334.292,245031.696,291265.38,311031.036,215792.964,,,,,,,,,
7,00440000411500,,,28350.0,78862.5,111367.5,69967.5,80970.0,89880.0,73485.0,112260.0,105315.0,90405.0,93307.5,67560.0,55927.5,,,,,,,,,
8,00667210011900,,,71597.812,118867.606,155481.326,275872.74,115005.176,233534.158,156137.41,166253.802,152454.874,146994.562,167174.436,152994.556,114380.838,,,,,,,,,
9,00667210149300,,,,,,,83816.064,106689.6,24819.84,,,,,,,,,,,,,,,
