,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
0,00193200004300,,,12568.5,14573.25,23010.75,29382.75,15275.25,19028.25,26419.5,23274.0,19527.75,30010.5,12548.25,11846.25,23658.75,,,,,,,,,
1,00193200008900,,,5262.0,9567.0,12720.0,9225.0,11646.0,12378.0,9903.0,11172.0,8487.0,9177.0,10710.0,9360.0,7800.0,,,,,,,,,
2,00193200093700,,,19077.93,26152.875,29477.115,23779.98,33661.575,45030.33,37076.94,32783.13,24673.005,24516.27,26612.145,31740.66,26418.96,,,,,,,,,
3,00193200683500,,,360.91,164.05,,,,,,,,,,,,,,,,,,,,
4,00440000061000,,,9765.684,20440.188,21708.864,16072.344,20085.84,22345.956,18334.296,19854.504,11965.212,13228.38,24207.66,18894.276,14151.888,,,,,,,,,
5,00440000155900,,,157800.654,361191.402,463055.274,386028.918,362206.944,472901.022,355908.762,433663.758,364365.54,414714.564,486162.27,353349.414,265329.702,,,,,,,,,
6,00440000156000,,,237600.396,510617.25,656914.5,479249.298,507625.272,615309.156,490784.58,613013.94,498521.826,567783.612,695842.092,524010.564,459944.892,,,,,,,,,
7,00440000157000,,,78242.274,171389.79,212002.362,150828.48,163566.018,203395.302,174659.562,207084.042,165387.618,168967.062,193449.366,168334.056,126915.426,,,,,,,,,
8,00440000157800,,,78551.946,166735.602,247368.726,167956.074,158064.786,207589.536,169672.932,216952.56,178453.044,221716.044,164362.968,154539.99,134561.592,,,,,,,,,
9,00440000249100,,,21638.4,19806.72,24725.76,31453.44,21231.36,30109.44,25516.8,29214.72,10586.88,,,,,,,,,,,,,
10,00440000295400,,,112819.2,152006.4,238655.04,179849.28,236508.48,281673.6,195898.56,220671.36,192566.4,139776.0,112332.48,204335.04,170202.24,,,,,,,,,
11,00440000322000,,,162047.16,256407.192,372913.344,324211.392,273489.948,356201.316,287782.488,260846.172,229334.292,245031.696,291265.38,311031.036,215792.964,,,,,,,,,
12,00440000401000,,,63801.0,140868.0,199728.0,182155.5,123502.5,197356.5,146677.5,158733.0,157995.0,180832.5,189783.0,124731.0,134523.0,,,,,,,,,
13,00440000411500,,,28350.0,78862.5,111367.5,69967.5,80970.0,89880.0,73485.0,112260.0,105315.0,90405.0,93307.5,67560.0,55927.5,,,,,,,,,
14,00667210011800,,,175767.02,210941.588,285068.498,498084.158,174380.778,416973.128,336549.928,288602.886,282126.702,380190.096,404846.156,197946.892,275269.566,,,,,,,,,
15,00667210011900,,,71597.812,118867.606,155481.326,275872.74,115005.176,233534.158,156137.41,166253.802,152454.874,146994.562,167174.436,152994.556,114380.838,,,,,,,,,
16,00667210050900,,,11582.21,13979.915,18927.135,16850.91,19619.21,30942.45,17824.28,25249.575,14953.285,15368.53,17154.53,10354.335,13899.545,,,,,,,,,
17,00667210051000,,,10381.125,17609.96,29227.89,25959.51,31375.555,49476.665,18355.615,38086.45,24986.14,31174.63,25432.64,15926.655,22789.36,,,,,,,,,
18,00667210051100,,,9903.37,25624.635,35478.89,32478.41,33442.85,52244.965,31777.405,59085.345,41591.475,26294.385,47244.165,27571.375,20137.15,,,,,,,,,
19,00667210149300,,,,,,,83816.064,106689.6,24819.84,,,,,,,,,,,,,,,
