,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
0,00193200001000,,,240936.0,364032.0,436824.0,353856.0,488088.0,449088.0,395448.0,428832.0,343464.0,336672.0,416136.0,355680.0,253512.0,,,,,,,,,
1,00193200001100,,,15870.96,20749.56,26564.4,16429.32,26806.92,25960.92,16739.52,21031.56,23366.52,28228.2,27771.36,23851.56,19345.2,,,,,,,,,
2,00193200004200,,,23193.936,32939.856,38212.128,37995.552,34137.792,42936.192,42022.512,35335.728,26611.776,46211.904,19464.768,27200.592,28892.592,,,,,,,,,
3,00193200007300,,,197900.0,298660.0,367670.0,327350.0,368870.0,361770.0,251360.0,239290.0,209480.0,225810.0,290080.0,325270.0,291750.0,,,,,,,,,
4,00193200007900,,,243072.0,546900.0,738612.0,535272.0,678432.0,665736.0,614604.0,694284.0,374196.0,439656.0,489984.0,445284.0,339096.0,,,,,,,,,
5,00193200009000,,,6990.0,9846.0,11556.0,9273.0,10554.0,11733.0,9306.0,10884.0,7779.0,7461.0,6612.0,8178.0,7308.0,,,,,,,,,
6,00193200011300,,,14625.0,,15750.0,,,,,,,,,,,,,,,,,,,
7,00193200014600,,,83975.0,152050.0,164825.0,93650.0,115150.0,81275.0,102900.0,100925.0,116550.0,116925.0,81975.0,53350.0,40975.0,,,,,,,,,
8,00193200018000,,,167950.0,408725.0,423750.0,409450.0,404075.0,375950.0,291000.0,356550.0,280100.0,278875.0,357900.0,290525.0,222850.0,,,,,,,,,
9,00193200093800,,,12232.62,20812.95,21224.835,16172.865,27093.285,36227.655,28729.89,23160.33,18163.035,17543.385,22041.315,25587.9,19879.83,,,,,,,,,
10,00193200154000,,,12836.04,23249.52,33633.6,32563.44,32198.88,33880.56,28500.36,24737.16,25472.16,24137.4,27189.12,30864.12,24478.44,,,,,,,,,
11,00193200159300,,,11610.0,13891.5,20925.0,18360.0,20007.0,18252.0,19548.0,15309.0,,,,,,,,,,,,,,
12,00193200293600,,,30550.0,58800.0,68675.0,77325.0,104700.0,82475.0,42425.0,51075.0,42150.0,47200.0,53150.0,46875.0,40625.0,,,,,,,,,
13,00193200293900,,,57450.0,85925.0,112800.0,76800.0,110525.0,117250.0,69225.0,94875.0,76025.0,86475.0,99550.0,79025.0,85500.0,,,,,,,,,
14,00193200294000,,,110810.0,216195.0,259420.0,179515.0,233870.0,203280.0,125230.0,186130.0,162505.0,140035.0,180355.0,126070.0,110915.0,,,,,,,,,
15,00193200294600,,,66175.0,120350.0,150425.0,111575.0,167975.0,136625.0,71725.0,84300.0,70825.0,58825.0,97625.0,91100.0,76525.0,,,,,,,,,
16,00193200295600,,,68300.0,215125.0,223775.0,191325.0,157375.0,161175.0,91700.0,74700.0,87150.0,98325.0,109650.0,140950.0,134425.0,,,,,,,,,
17,00193200296200,,,209664.0,372480.0,446904.0,382416.0,411060.0,390060.0,210384.0,213204.0,191364.0,177468.0,259872.0,324816.0,231012.0,,,,,,,,,
18,00440000061700,,,14606.592,26064.96,28346.784,20525.472,24423.36,26517.312,21457.536,21209.472,12950.4,15883.392,31821.504,25982.88,18367.68,,,,,,,,,
19,00440000068000,,,103753.44,313006.464,256216.176,204650.784,225058.56,196804.416,165182.064,165969.408,123015.168,192353.328,138854.544,174614.4,133099.488,,,,,,,,,
20,00440000074900,,,127912.2,220486.5,293517.9,307760.7,277999.8,327954.9,259041.9,233742.6,190854.3,282531.6,243122.1,242853.0,228668.7,,,,,,,,,
21,00440000125100,,,55638.0,114034.5,148140.0,97695.0,117508.5,136003.5,123871.5,140067.0,87889.5,82687.5,119448.0,118062.0,102438.0,,,,,,,,,
22,00440000159200,,,135222.0,314838.0,336444.0,291714.0,705990.0,553824.0,269730.0,271374.0,175692.0,233676.0,513816.0,329694.0,443412.0,,,,,,,,,
