,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
0,00193200007100,,,21654.0,24657.75,25839.0,29720.25,23618.25,27452.25,29855.25,36429.75,25575.75,30692.25,18933.75,20371.5,23112.0,,,,,,,,,
1,00193200009100,,,25749.0,37704.0,39162.0,33015.0,37596.0,44538.0,46164.0,39237.0,33630.0,31206.0,33867.0,36519.0,32160.0,,,,,,,,,
2,00193200009200,,,17685.0,28335.0,28977.0,26022.0,30582.0,32724.0,29280.0,28926.0,23433.0,23331.0,25881.0,26412.0,21597.0,,,,,,,,,
3,00193200014200,,,38418.0,60358.25,81438.75,69834.5,68271.75,79605.25,64851.75,74822.0,63279.5,59997.25,62177.5,66438.25,56154.5,,,,,,,,,
4,00193200070500,,,78120.0,118770.0,178670.0,168280.0,163320.0,200920.0,152080.0,151570.0,127050.0,157100.0,119900.0,123610.0,130590.0,,,,,,,,,
5,00193200683300,,,5023.125,6080.625,7351.875,6480.0,6688.125,8651.25,6856.875,6873.75,4185.0,4747.5,6693.75,5394.375,4432.5,,,,,,,,,
6,00193200683400,,,13747.5,25121.25,32259.375,20081.25,24575.625,26330.625,28147.5,26865.0,19428.75,22426.875,20193.75,18213.75,17600.625,,,,,,,,,
7,00193200683500,,,360.91,164.05,,,,,,,,,,,,,,,,,,,,
8,00193201119100,,,11275.234,22780.173,28726.251,22799.862,26442.327,31535.215,33569.745,20620.946,23698.993,26842.67,18573.29,22176.377,18212.325,,,,,,,,,
9,00440000021000,,,456492.96,799529.22,1055828.34,1058108.1,1290324.84,1297782.36,1076384.82,1202428.5,811720.14,854620.2,1009247.82,961556.4,684691.14,,,,,,,,,
10,00440000021100,,,261015.552,463033.536,616186.368,599374.272,744069.312,757127.616,619507.392,611209.536,461293.056,469722.624,568591.296,567575.232,443323.776,,,,,,,,,
11,00440000115700,,,144293.94,244444.08,311180.16,241764.3,291529.62,366701.52,300613.26,346551.84,220407.48,222326.16,278006.82,267769.14,237027.78,,,,,,,,,
12,00440000125200,,,52548.48,111252.96,144244.8,100219.68,120670.56,144201.6,134688.96,145787.04,92685.6,84849.12,119154.24,116125.92,94033.44,,,,,,,,,
13,00440000155900,,,157800.654,361191.402,463055.274,386028.918,362206.944,472901.022,355908.762,433663.758,364365.54,414714.564,486162.27,353349.414,265329.702,,,,,,,,,
14,00440000156000,,,237600.396,510617.25,656914.5,479249.298,507625.272,615309.156,490784.58,613013.94,498521.826,567783.612,695842.092,524010.564,459944.892,,,,,,,,,
15,00440000157000,,,78242.274,171389.79,212002.362,150828.48,163566.018,203395.302,174659.562,207084.042,165387.618,168967.062,193449.366,168334.056,126915.426,,,,,,,,,
16,00440000311100,,,3837516.48,5358522.336,7206722.208,5987117.376,5388865.824,6098270.688,5571029.472,6061651.008,8352635.712,9529591.2,7445104.512,6090104.448,6247748.832,,,,,,,,,
