,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
0,00440000272800,,,30770.388,45317.664,60616.836,53556.66,43852.104,49835.412,45961.236,47624.328,57927.852,45750.96,47828.232,36396.864,37760.472,,,,,,,,,
1,00440000279500,,,673708.32,903898.752,1398802.776,1400748.504,1044470.844,1263372.0,1161268.572,1262311.308,1845462.204,1770085.512,1452168.42,853046.34,1086067.536,,,,,,,,,
2,00440000279600,,,205362.0,315450.0,466926.0,453894.0,339456.0,399528.0,362094.0,378648.0,531918.0,432054.0,442464.0,261786.0,342078.0,,,,,,,,,
3,00440000279800,,,258639.948,399178.26,561626.28,513982.968,451902.084,494566.224,469325.808,469501.464,611005.884,550803.168,554343.312,333320.772,385551.408,,,,,,,,,
4,00440000279900,,,260957.256,370607.136,529143.432,517246.116,414379.26,483364.776,477554.616,460691.64,593879.424,544094.46,564369.216,330381.912,363729.528,,,,,,,,,
5,00440000280100,,,111251.052,188289.72,252093.384,222954.756,191492.064,232987.416,211503.336,207044.376,269699.52,259119.624,195741.588,211442.532,185925.12,,,,,,,,,
6,00440000280200,,,149645.4,231433.536,311715.084,266632.296,254410.692,272854.572,272368.14,256795.56,329219.88,290872.824,322558.464,206395.8,235838.448,,,,,,,,,
7,00440000396200,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,
8,00440000400900,,,65571.975,13950.0,,,,,,,,,,,,,,,,,,,,
9,00440000407200,,,119827.392,216205.896,282964.752,264857.112,274568.472,284677.728,257479.176,241057.536,270886.248,232620.792,316408.248,191293.56,172653.144,,,,,,,,,
10,00440000461000,,,81.072,225346.38,231541.632,,,,,,,,,,,,,,,,,,,
11,00667210203400,,,49261.075,69584.617,110130.5,149194.086,60756.318,130495.713,181006.918,118857.598,156540.088,170791.57,57916.737,106320.58,95712.334,,,,,,,,,
12,00667210209900,,,,0.0,,,,10156.445,8593.915,8906.421,33125.636,10312.698,,,,,,,,,,,,
